daerah,provinsi,jenis,periode,pendapatan_daerah,pendapatan_asli_daerah,hasil_pajak_daerah,hasil_retribusi_daerah,hasil_pengelolaan_kekayaan_daerah_yang_dipisahkan,lain_lain_pendapatan_asli_daerah_yang_sah,dana_perimbangan,dana_bagi_hasil_pajak_bagi_hasil_bukan_pajak,dana_alokasi_umum,dana_alokasi_khusus,lain_lain_pendapatan_daerah_yang_sah,pendapatan_hibah,dana_darurat,dana_bagi_hasil_pajak_dari_provinsi_dan_pemerintah_daerah_lainnya,dana_penyesuaian_dan_otonomi_khusus,bantuan_keuangan_dari_provinsi_atau_pemerintah_daerah_lainnya,pendapatan_lain_lain,belanja_daerah,belanja_pegawai_l,belanja_barang_dan_jasa,belanja_modal
Kab Soppeng,Sulawesi Selatan,Anggaran,2018-07-05,1107422000000,90247000000,11738000000,8038000000,13000000000,57471000000,897000000000,21991000000,624805000000,250204000000,120175000000,25175000000,0,27177000000,61544000000,6278000000,0,1114634000000,16209000000,241593000000,240840000000
Kab Takalar,Sulawesi Selatan,Anggaran,2018-07-05,1210696000000,161418000000,18459000000,4756000000,10209000000,127995000000,889271000000,18925000000,595467000000,274879000000,160008000000,41401000000,0,40864000000,69834000000,7909000000,0,1207696000000,104294000000,275689000000,186783000000
Kab Tana Toraja,Sulawesi Selatan,Anggaran,2018-07-05,1160000000000,160000000000,12750000000,15250000000,10500000000,121500000000,802438000000,16707000000,551497000000,234235000000,197562000000,59233000000,0,33000000000,0,105329000000,0,1185000000000,72964000000,300610000000,284501000000
Kab Wajo,Sulawesi Selatan,Anggaran,2018-07-05,1466991000000,138610000000,31524000000,13686000000,15384000000,78016000000,1090573000000,90187000000,714224000000,286162000000,237808000000,49658000000,0,62368000000,122470000000,3312000000,0,1487302000000,44089000000,292094000000,226112000000
Kota Parepare,Sulawesi Selatan,Anggaran,2018-07-05,858161000000,145208000000,22150000000,7026000000,6146000000,109886000000,608742000000,21260000000,454752000000,132729000000,104211000000,23191000000,0,53105000000,25250000000,2665000000,0,875366000000,27947000000,312289000000,159296000000
Kota Makassar,Sulawesi Selatan,Anggaran,2018-07-05,3898109000000,1483713000000,1155991000000,133446000000,45287000000,148988000000,1909905000000,146515000000,1300764000000,462625000000,504491000000,132805000000,0,324416000000,35750000000,11520000000,0,4117589000000,253643000000,1689569000000,869409000000
Kab Toraja Utara,Sulawesi Selatan,Anggaran,2018-07-05,1114447000000,58563000000,20735000000,19773000000,5225000000,12830000000,810357000000,16663000000,519041000000,274654000000,245528000000,3500000000,0,31965000000,108333000000,12768000000,88962000000,1114599000000,16618000000,308031000000,272854000000
Kab Buton,Sulawesi Tenggara,Anggaran,2018-07-05,789844000000,46233000000,2120000000,7966000000,5228000000,30919000000,633953000000,12981000000,424358000000,196614000000,109659000000,0,0,10027000000,36500000000,0,63131000000,805707000000,29149000000,125342000000,249086000000
Kab Konawe,Sulawesi Tenggara,Anggaran,2018-07-05,1451621000000,113078000000,15750000000,2580000000,4000000000,90748000000,894429000000,21699000000,678419000000,194311000000,444114000000,0,0,14682000000,16000000000,0,413432000000,1585936000000,36596000000,318262000000,334381000000
Kab Kolaka,Sulawesi Tenggara,Anggaran,2018-07-05,1084200000000,83637000000,20025000000,7494000000,10698000000,45420000000,825973000000,69431000000,582742000000,173799000000,174590000000,33565000000,0,18092000000,90933000000,0,32000000000,1084200000000,67907000000,217894000000,242424000000
Kab Muna,Sulawesi Tenggara,Anggaran,2018-07-05,1128159000000,100125000000,6058000000,3479000000,3500000000,87088000000,918438000000,13987000000,658128000000,246323000000,109595000000,0,0,7520000000,101975000000,100000000,0,1200990000000,52377000000,148298000000,311940000000
Kota Kendari,Sulawesi Tenggara,Anggaran,2018-07-05,1709048000000,675224000000,112771000000,266305000000,3999000000,292149000000,946337000000,31102000000,662782000000,252453000000,87487000000,43464000000,0,27173000000,16500000000,350000000,0,1708133000000,85443000000,253718000000,608137000000
Kota Baubau,Sulawesi Tenggara,Anggaran,2018-07-05,805481000000,85445000000,16280000000,4189000000,4605000000,60370000000,674288000000,15179000000,509014000000,150095000000,45748000000,6000000000,0,14498000000,25250000000,0,0,844412000000,19617000000,239954000000,169874000000
Kab Konawe Selatan,Sulawesi Tenggara,Anggaran,2018-07-05,1314944000000,68909000000,16900000000,5840000000,6046000000,40123000000,943909000000,23218000000,666731000000,253960000000,302126000000,46687000000,0,13683000000,241756000000,0,0,1615123000000,45760000000,257117000000,551393000000
Kab Bombana,Sulawesi Tenggara,Anggaran,2018-07-05,844106000000,81254000000,11850000000,10969000000,12000000000,46434000000,571408000000,23041000000,482294000000,66073000000,191445000000,0,0,8858000000,182587000000,0,0,849394000000,36940000000,202441000000,165490000000
Kab Wakatobi,Sulawesi Tenggara,Anggaran,2018-07-05,814260000000,30133000000,6594000000,2299000000,9752000000,11488000000,686368000000,12923000000,463652000000,209793000000,97759000000,16696000000,0,7118000000,73945000000,0,0,830769000000,37234000000,184483000000,255666000000
Kab Kolaka Utara,Sulawesi Tenggara,Anggaran,2018-07-05,822267000000,40501000000,6990000000,3338000000,11288000000,18885000000,614078000000,13572000000,475754000000,124752000000,167688000000,22830000000,0,4412000000,130446000000,10000000000,0,878767000000,24132000000,202790000000,167637000000
Kab Konawe Utara,Sulawesi Tenggara,Anggaran,2018-07-05,753318000000,16097000000,1502000000,2938000000,1767000000,9891000000,607219000000,26459000000,454227000000,126533000000,130002000000,11543000000,0,6078000000,110381000000,2000000000,0,760514000000,37233000000,207672000000,139133000000
Kab Buton Utara,Sulawesi Tenggara,Anggaran,2018-07-05,625422000000,25506000000,2108000000,2300000000,4481000000,16617000000,536277000000,11402000000,410109000000,114765000000,63639000000,0,0,3465000000,59874000000,300000000,0,640415000000,16488000000,177503000000,163689000000
Kab Konawe Kepulauan,Sulawesi Tenggara,Anggaran,2018-07-05,519946000000,9716000000,884000000,175000000,400000000,8257000000,423700000000,11488000000,315499000000,96712000000,86530000000,8500000000,0,6401000000,65288000000,0,6342000000,545871000000,5350000000,150983000000,197942000000
Kab Kolaka Timur,Sulawesi Tenggara,Anggaran,2018-07-05,641766000000,37145000000,3836000000,1841000000,5000000000,26468000000,515870000000,11322000000,402712000000,101837000000,88750000000,0,0,4306000000,0,0,84444000000,644780000000,11014000000,157283000000,171345000000
Kab Muna Barat,Sulawesi Tenggara,Anggaran,2018-07-05,591561000000,32818000000,5299000000,1380000000,523000000,25616000000,489109000000,11038000000,356863000000,121208000000,69635000000,0,0,3488000000,66147000000,0,0,594042000000,26826000000,123650000000,183635000000
Kab Buton Tengah,Sulawesi Tenggara,Anggaran,2018-07-05,617006000000,26623000000,1957000000,1058000000,0,23608000000,530687000000,11815000000,358696000000,160176000000,59696000000,0,0,5515000000,54181000000,0,0,650369000000,40996000000,117308000000,208788000000
Kab Buton Selatan,Sulawesi Tenggara,Anggaran,2018-07-05,561077000000,6674000000,1440000000,1759000000,0,3475000000,483261000000,12514000000,343793000000,126954000000,71142000000,0,0,4688000000,66455000000,0,0,575421000000,22796000000,134969000000,141020000000
Kab Badung,Bali,Anggaran,2018-07-05,6567484000000,5700511000000,4989884000000,151098000000,245534000000,313996000000,572651000000,88964000000,330337000000,153351000000,294322000000,0,0,164302000000,123689000000,6330000000,0,7244394000000,117257000000,1892632000000,1603762000000
Kab Bangli,Bali,Anggaran,2018-07-05,1118896000000,120500000000,16269000000,26332000000,5932000000,71967000000,734567000000,21006000000,559868000000,153693000000,263829000000,0,0,87183000000,104826000000,71819000000,0,1304089000000,51213000000,200479000000,265900000000
Kab Buleleng,Bali,Anggaran,2018-07-05,2124617000000,371367000000,151463000000,21511000000,15750000000,182643000000,1270129000000,33962000000,965435000000,270731000000,483122000000,88802000000,0,148675000000,141633000000,104012000000,0,2159920000000,61177000000,691503000000,242687000000
Kab Gianyar,Bali,Anggaran,2018-07-05,1926241000000,695786000000,533325000000,50133000000,8233000000,104095000000,940972000000,31070000000,693574000000,216328000000,289483000000,53527000000,0,121209000000,102472000000,12275000000,0,2112711000000,41716000000,496291000000,354857000000
Kab Jembrana,Bali,Anggaran,2018-07-05,1114793000000,128272000000,43982000000,16023000000,6193000000,62074000000,707553000000,22162000000,552643000000,132747000000,278969000000,30243000000,0,100824000000,37250000000,70987000000,39665000000,1164959000000,52893000000,292622000000,266748000000
Kab Karangasem,Bali,Anggaran,2018-07-05,1561878000000,234000000000,116501000000,18363000000,11742000000,87394000000,953288000000,23995000000,729379000000,199914000000,374590000000,56872000000,0,114855000000,99626000000,103237000000,0,1598133000000,37758000000,437428000000,186791000000
Kab Klungkung,Bali,Anggaran,2018-07-05,1094683000000,152478000000,44516000000,25752000000,8171000000,74040000000,680647000000,21784000000,530372000000,128491000000,261557000000,27736000000,0,86364000000,78016000000,69441000000,0,1218104000000,20236000000,394558000000,171774000000
Kab Tabanan,Bali,Anggaran,2018-07-05,1891139000000,409184000000,100640000000,21952000000,8996000000,277596000000,1077347000000,27630000000,811769000000,237948000000,404608000000,2800000000,0,122189000000,153310000000,126309000000,0,2126659000000,23379000000,487884000000,457787000000
Kota Denpasar,Bali,Anggaran,2018-07-05,2040574000000,808926000000,590500000000,35035000000,48460000000,134930000000,908579000000,102976000000,650169000000,155434000000,323069000000,99466000000,0,163598000000,0,5350000000,54655000000,2200040000000,20892000000,755259000000,289433000000
Kab Bima,Nusa Tenggara Barat,Anggaran,2018-07-05,1778714000000,195312000000,11014000000,18967000000,5158000000,160173000000,1348167000000,43920000000,880920000000,423327000000,235234000000,6598000000,0,46860000000,156526000000,0,25250000000,1860109000000,96413000000,348985000000,401560000000
Kab Dompu,Nusa Tenggara Barat,Anggaran,2018-07-05,1073864000000,88817000000,9736000000,6260000000,14510000000,58311000000,842795000000,42272000000,572062000000,228461000000,142252000000,4969000000,0,37360000000,99924000000,0,0,1119179000000,27025000000,254059000000,250750000000
Kab Lombok Barat,Nusa Tenggara Barat,Anggaran,2018-07-05,1747302000000,301154000000,125136000000,23854000000,18463000000,133701000000,1112198000000,49695000000,771028000000,291475000000,333951000000,96389000000,0,73122000000,164440000000,0,0,1730656000000,51847000000,410582000000,366896000000
Kab Lombok Tengah,Nusa Tenggara Barat,Anggaran,2018-07-05,1972157000000,180965000000,59775000000,22798000000,11278000000,87115000000,1453038000000,79926000000,985217000000,387895000000,338154000000,93418000000,0,72811000000,171924000000,0,0,2052116000000,59289000000,431820000000,392977000000
Kab Lombok Timur,Nusa Tenggara Barat,Anggaran,2018-07-05,2596173000000,295165000000,57659000000,54535000000,25169000000,157802000000,1801639000000,97562000000,1147732000000,556345000000,499370000000,134277000000,0,75946000000,289146000000,0,0,2590629000000,50631000000,580465000000,383949000000
Kab Sumbawa,Nusa Tenggara Barat,Anggaran,2018-07-05,1632005000000,144012000000,27998000000,17945000000,20100000000,77968000000,1218052000000,62284000000,821928000000,333841000000,269941000000,60754000000,0,57528000000,151660000000,0,0,1661796000000,23265000000,362124000000,309263000000
Kota Mataram,Nusa Tenggara Barat,Anggaran,2018-07-05,1412050000000,350256000000,148105000000,22653000000,7798000000,171700000000,894810000000,91464000000,598318000000,205028000000,166984000000,58984000000,0,70000000000,0,0,38000000000,1433121000000,114865000000,452269000000,275741000000
Kota Bima,Nusa Tenggara Barat,Anggaran,2018-07-05,783523000000,33354000000,14850000000,7454000000,913000000,10136000000,656451000000,42593000000,455972000000,157887000000,93718000000,17377000000,0,48591000000,27750000000,0,0,985955000000,46484000000,191171000000,234458000000
Kab Sumbawa Barat,Nusa Tenggara Barat,Anggaran,2018-07-05,1270037000000,57175000000,18535000000,26740000000,5500000000,6400000000,1037999000000,459814000000,400285000000,177901000000,174864000000,44400000000,0,42247000000,35250000000,52310000000,656000000,1254637000000,36509000000,364831000000,331678000000
Kab Lombok Utara,Nusa Tenggara Barat,Anggaran,2018-07-05,959401000000,200003000000,122371000000,19217000000,4509000000,53907000000,610466000000,42304000000,392933000000,175229000000,148932000000,27234000000,0,35896000000,0,0,85802000000,984320000000,59309000000,282766000000,244028000000
Kab Alor,Nusa Tenggara Timur,Anggaran,2018-07-05,1120798000000,57578000000,10140000000,25036000000,2990000000,19412000000,887532000000,10089000000,600881000000,276562000000,175688000000,24192000000,0,13232000000,138264000000,0,0,1119798000000,57864000000,182446000000,258569000000
Kab Belu,Nusa Tenggara Timur,Anggaran,2018-07-05,911523000000,68426000000,13674000000,6625000000,7990000000,40137000000,726987000000,11268000000,501312000000,214406000000,116110000000,24295000000,0,19394000000,72421000000,0,0,946244000000,76154000000,219591000000,180712000000
Kab Ende,Nusa Tenggara Timur,Anggaran,2018-07-05,1153385000000,79633000000,24384000000,5250000000,3070000000,46929000000,836343000000,12386000000,621874000000,202084000000,237410000000,44172000000,0,18127000000,175110000000,0,0,1150885000000,54150000000,165519000000,167136000000
Kab Flores Timur,Nusa Tenggara Timur,Anggaran,2018-07-05,1114932000000,59347000000,11164000000,27152000000,4892000000,16138000000,859181000000,11639000000,608247000000,239295000000,196405000000,24002000000,0,17134000000,155269000000,0,0,1126428000000,57006000000,203580000000,214464000000
Kab Kupang,Nusa Tenggara Timur,Anggaran,2018-07-05,1295162000000,99922000000,17071000000,21299000000,17000000000,44552000000,986112000000,12412000000,681371000000,292329000000,209128000000,50915000000,0,22531000000,135682000000,0,0,1400644000000,49477000000,342376000000,275404000000
Kab Lembata,Nusa Tenggara Timur,Anggaran,2018-07-05,800323000000,36699000000,7820000000,10241000000,4928000000,13710000000,637820000000,9122000000,466008000000,162690000000,125804000000,0,0,12228000000,113577000000,0,0,820397000000,70263000000,150461000000,124480000000
Kab Manggarai,Nusa Tenggara Timur,Anggaran,2018-07-05,1121389000000,98185000000,27500000000,9783000000,9375000000,51527000000,821313000000,13463000000,572870000000,234979000000,201891000000,52811000000,0,24017000000,0,0,125063000000,1129736000000,52144000000,235965000000,259314000000
Kab Ngada,Nusa Tenggara Timur,Anggaran,2018-07-05,772674000000,46982000000,6272000000,2766000000,2079000000,35864000000,598432000000,9221000000,470537000000,118675000000,127259000000,20887000000,0,9900000000,96472000000,0,0,801846000000,36215000000,112140000000,206560000000
Kab Sikka,Nusa Tenggara Timur,Anggaran,2018-07-05,1134750000000,104336000000,22082000000,16521000000,3228000000,62506000000,827397000000,11800000000,622679000000,192918000000,203017000000,26846000000,0,25423000000,150748000000,0,0,1194250000000,39295000000,264724000000,165435000000
Kab Sumba Barat,Nusa Tenggara Timur,Anggaran,2018-07-05,810352000000,81751000000,21350000000,2696000000,14500000000,43205000000,631115000000,9268000000,397977000000,223870000000,97486000000,19816000000,0,11159000000,66511000000,0,0,840223000000,91435000000,181133000000,270292000000
Kab Sumba Timur,Nusa Tenggara Timur,Anggaran,2018-07-05,1116736000000,97694000000,26451000000,7181000000,15500000000,48563000000,841169000000,14715000000,637391000000,189063000000,177873000000,35795000000,0,16408000000,125670000000,0,0,1196158000000,72466000000,280113000000,260281000000
Kab Timor Tengah Selatan,Nusa Tenggara Timur,Anggaran,2018-07-05,1409383000000,86408000000,11383000000,5310000000,5057000000,64659000000,1011579000000,13600000000,745324000000,252656000000,311395000000,68742000000,0,31894000000,210759000000,0,0,1523716000000,69076000000,295884000000,303463000000
Kab Timor Tengah Utara,Nusa Tenggara Timur,Anggaran,2018-07-05,1000402000000,60829000000,8307000000,4327000000,14600000000,33594000000,750786000000,11240000000,582372000000,157174000000,188787000000,33376000000,0,18701000000,136710000000,0,0,1065711000000,57909000000,238020000000,157230000000
Kota Kupang,Nusa Tenggara Timur,Anggaran,2018-07-05,1202065000000,174994000000,93308000000,40677000000,13986000000,27023000000,918428000000,33348000000,649542000000,235538000000,108643000000,40810000000,0,67832000000,0,0,0,1213346000000,150089000000,278440000000,312044000000
Kab Rote Ndao,Nusa Tenggara Timur,Anggaran,2018-07-05,788502000000,25750000000,6106000000,6694000000,6000000000,6950000000,632285000000,9334000000,445783000000,177168000000,130467000000,26192000000,0,11987000000,92288000000,0,0,789408000000,46078000000,159715000000,145431000000
Kab Manggarai Barat,Nusa Tenggara Timur,Anggaran,2018-07-05,1081753000000,120436000000,67215000000,24033000000,5000000000,24187000000,782813000000,10623000000,506496000000,265695000000,178504000000,35546000000,0,15787000000,127170000000,0,0,1121365000000,76352000000,225968000000,271556000000
Kab Nagekeo,Nusa Tenggara Timur,Anggaran,2018-07-05,696165000000,27942000000,3476000000,3341000000,3835000000,17289000000,566542000000,8256000000,432406000000,125879000000,101681000000,13945000000,0,12002000000,75734000000,0,0,732797000000,48988000000,147236000000,132605000000
Kab Sumba Barat Daya,Nusa Tenggara Timur,Anggaran,2018-07-05,951379000000,43105000000,12431000000,1889000000,6238000000,22548000000,658635000000,10717000000,467694000000,180224000000,249639000000,49292000000,0,15724000000,184624000000,0,0,1027950000000,86034000000,235786000000,167097000000
Kab Sumba Tengah,Nusa Tenggara Timur,Anggaran,2018-07-05,566673000000,27590000000,5614000000,1597000000,4303000000,16076000000,461414000000,8708000000,351241000000,101465000000,77669000000,9650000000,0,9103000000,58915000000,0,0,588673000000,48911000000,144621000000,144319000000
Kab Manggarai Timur,Nusa Tenggara Timur,Anggaran,2018-07-05,1047459000000,50756000000,10215000000,2145000000,10000000000,28396000000,774996000000,8755000000,507763000000,258478000000,221707000000,40600000000,18523000000,0,162583000000,0,0,1055476000000,94942000000,167720000000,211413000000
Kab Sabu Raijua,Nusa Tenggara Timur,Anggaran,2018-07-05,620522000000,66036000000,5351000000,790000000,5831000000,54064000000,468873000000,7465000000,346280000000,115128000000,85613000000,12812000000,0,9952000000,62849000000,0,0,673388000000,68701000000,129052000000,221906000000
Kab Malaka,Nusa Tenggara Timur,Anggaran,2018-07-05,775387000000,39127000000,9497000000,6351000000,2780000000,20499000000,592067000000,8315000000,436377000000,147374000000,144193000000,0,0,12137000000,95008000000,0,37048000000,844308000000,87544000000,170035000000,152407000000
Kab Maluku Tenggara Barat,Maluku,Anggaran,2018-07-05,921026000000,74786000000,20980000000,12959000000,0,40847000000,757571000000,48558000000,561838000000,147175000000,88669000000,4682000000,0,11944000000,0,0,72043000000,1021581000000,11220000000,286407000000,267527000000
Kab Maluku Tengah,Maluku,Anggaran,2018-07-05,1630140000000,92015000000,26000000000,19712000000,0,46302000000,1323401000000,19446000000,965391000000,338563000000,214724000000,158474000000,0,30000000000,26250000000,0,0,1637499000000,28283000000,261222000000,338156000000
Kab Maluku Tenggara,Maluku,Anggaran,2018-07-05,925150000000,52666000000,14823000000,2033000000,2068000000,33742000000,691894000000,12619000000,495980000000,183295000000,180591000000,0,0,11008000000,169582000000,0,0,957145000000,31301000000,202192000000,216709000000
Kab Buru,Maluku,Anggaran,2018-07-05,900203000000,50284000000,8337000000,9320000000,2000000000,30627000000,742920000000,14509000000,500118000000,228294000000,106999000000,0,0,14906000000,92092000000,0,0,955183000000,9590000000,228357000000,289021000000
Kota Ambon,Maluku,Anggaran,2018-07-05,1156203000000,143323000000,83214000000,38560000000,2935000000,18614000000,889674000000,33274000000,674130000000,182270000000,123205000000,55480000000,0,36536000000,31189000000,0,0,1199203000000,14137000000,376059000000,202476000000
Kab Seram Bagian Barat,Maluku,Anggaran,2018-07-05,1077092000000,40137000000,4994000000,7709000000,1614000000,25820000000,904838000000,16189000000,597525000000,291124000000,132116000000,0,0,13416000000,118700000000,0,0,1100950000000,14653000000,255242000000,303907000000
Kab Seram Bagian Timur,Maluku,Anggaran,2018-07-05,949202000000,27660000000,5204000000,551000000,1980000000,19925000000,753858000000,32961000000,530651000000,190247000000,167684000000,15000000000,0,12965000000,139719000000,0,0,969168000000,27008000000,237134000000,219066000000
Kab Kepulauan Aru,Maluku,Anggaran,2018-07-05,1043579000000,68960000000,16500000000,18960000000,2000000000,31500000000,871087000000,12434000000,580686000000,277968000000,103531000000,0,0,13000000000,0,90531000000,0,1147897000000,10192000000,389787000000,312519000000
Kota Tual,Maluku,Anggaran,2018-07-05,598559000000,32529000000,4031000000,4882000000,1681000000,21935000000,527509000000,9284000000,394707000000,123518000000,38521000000,0,0,9651000000,28870000000,0,0,668903000000,10586000000,219980000000,162167000000
Kab Maluku Barat Daya,Maluku,Anggaran,2018-07-05,868414000000,66566000000,7084000000,6032000000,0,53451000000,701756000000,14658000000,566040000000,121058000000,100091000000,0,0,6627000000,93465000000,0,0,1043315000000,10447000000,357485000000,247216000000
Kab Buru Selatan,Maluku,Anggaran,2018-07-05,775042000000,16809000000,5447000000,1458000000,0,9905000000,666282000000,14043000000,421390000000,230850000000,91950000000,0,0,6000000000,85950000000,0,0,796849000000,22885000000,186849000000,284897000000
Kab Biak Numfor,Papua,Anggaran,2018-07-05,1191784000000,44009000000,5342000000,1654000000,0,37013000000,818321000000,43821000000,590680000000,183819000000,329454000000,0,0,17860000000,281067000000,30528000000,0,1220851000000,57639000000,263293000000,151729000000
Kab Jayapura,Papua,Anggaran,2018-07-05,1275159000000,103000000000,38621000000,27513000000,6900000000,29967000000,890762000000,46096000000,685570000000,159095000000,281397000000,0,0,19851000000,240700000000,20846000000,0,1293541000000,71942000000,325147000000,173169000000
Kab Jayawijaya,Papua,Anggaran,2018-07-05,1549214000000,82055000000,13902000000,12882000000,7230000000,48041000000,1040380000000,45430000000,714017000000,280934000000,426778000000,0,0,15452000000,373833000000,37494000000,0,1580046000000,76258000000,337353000000,311055000000
Kab Merauke,Papua,Anggaran,2018-07-05,2143452000000,152615000000,23789000000,11882000000,9933000000,107010000000,1618309000000,66133000000,1220130000000,332045000000,372528000000,0,0,32618000000,302810000000,37100000000,0,2318452000000,149287000000,767942000000,410453000000
Kab Mimika,Papua,Anggaran,2018-07-05,2843228000000,278876000000,151109000000,20148000000,12000000000,95620000000,2259318000000,1371173000000,610286000000,277860000000,305033000000,0,0,51377000000,223427000000,30230000000,0,2642528000000,209593000000,748291000000,679877000000
Kab Nabire,Papua,Anggaran,2018-07-05,1205468000000,28793000000,13045000000,5228000000,0,10520000000,999241000000,20325000000,705054000000,273862000000,177434000000,0,0,0,177434000000,0,0,1368968000000,30905000000,260565000000,447809000000
Kab Paniai,Papua,Anggaran,2018-07-05,1151834000000,18535000000,156000000,156000000,0,18223000000,825114000000,48225000000,586037000000,190852000000,308185000000,0,0,12302000000,287884000000,8000000000,0,1216834000000,51223000000,308992000000,169802000000
Kab Puncak Jaya,Papua,Anggaran,2018-07-05,1368654000000,20722000000,1187000000,2619000000,6500000000,10416000000,932273000000,44587000000,749825000000,137861000000,415659000000,0,0,9038000000,128560000000,278061000000,0,1385708000000,53835000000,312675000000,300163000000
Kab Kepulauan Yapen,Papua,Anggaran,2018-07-05,1082750000000,71405000000,11625000000,38593000000,6297000000,14891000000,769873000000,41318000000,547267000000,181289000000,241472000000,119631000000,0,10736000000,94657000000,16449000000,0,1114245000000,38594000000,198434000000,237505000000
Kota Jayapura,Papua,Anggaran,2018-07-05,1320925000000,186500000000,145881000000,28882000000,7600000000,4137000000,855134000000,79165000000,634301000000,141668000000,279291000000,15000000000,0,58533000000,157558000000,0,48200000000,1308925000000,95954000000,348989000000,185992000000
Kab Sarmi,Papua,Anggaran,2018-07-05,1098829000000,11014000000,880000000,490000000,3500000000,6144000000,890660000000,51824000000,711726000000,127111000000,197156000000,0,0,6060000000,182744000000,8352000000,0,1094678000000,108124000000,335685000000,249756000000
Kab Keerom,Papua,Anggaran,2018-07-05,1050460000000,24640000000,12425000000,1500000000,2500000000,8215000000,788558000000,50599000000,545712000000,192247000000,237262000000,39471000000,0,7410000000,94900000000,10766000000,84715000000,1194460000000,41988000000,303582000000,410445000000
Kab Yahukimo,Papua,Anggaran,2018-07-05,1634148000000,24140000000,6572000000,3876000000,1691000000,12000000000,1079083000000,46696000000,748276000000,284111000000,530925000000,50000000000,0,12634000000,468291000000,0,0,1612148000000,57807000000,276008000000,415347000000
Kab Pegunungan Bintang,Papua,Anggaran,2018-07-05,1529154000000,22332000000,266000000,3496000000,5931000000,12640000000,1167213000000,46672000000,851062000000,269480000000,339608000000,0,0,6217000000,114477000000,0,218914000000,1595122000000,60225000000,436176000000,356197000000
Kab Tolikara,Papua,Anggaran,2018-07-05,1520074000000,3625000000,0,0,0,3625000000,1016297000000,41919000000,734504000000,239874000000,500152000000,0,0,8228000000,121144000000,0,370780000000,1748187000000,76827000000,371294000000,389753000000
Kab Boven Digoel,Papua,Anggaran,2018-07-05,1293373000000,23297000000,2156000000,1296000000,1605000000,18241000000,1038481000000,49206000000,831711000000,157564000000,231594000000,0,0,3923000000,208382000000,19290000000,0,1300811000000,63537000000,389120000000,289763000000
Kab Mappi,Papua,Anggaran,2018-07-05,1297341000000,23317000000,2810000000,2584000000,3800000000,14123000000,995558000000,43936000000,781328000000,170293000000,278467000000,0,0,9110000000,239356000000,30000000000,0,1294841000000,138120000000,368569000000,266479000000
Kab Asmat,Papua,Anggaran,2018-07-05,1582391000000,152672000000,836000000,6528000000,9000000000,136308000000,1078168000000,44262000000,895264000000,138642000000,351552000000,16000000000,0,8224000000,306289000000,21039000000,0,1582391000000,130094000000,464780000000,274128000000
Kab Waropen,Papua,Anggaran,2018-07-05,926281000000,12500000000,4595000000,375000000,3000000000,4530000000,724250000000,45987000000,562528000000,115735000000,189531000000,0,0,4772000000,100809000000,0,83950000000,1026281000000,38462000000,233302000000,266372000000
Kab Supiori,Papua,Anggaran,2018-07-05,727081000000,26334000000,3335000000,355000000,3950000000,18694000000,568523000000,39038000000,451175000000,78310000000,132225000000,0,0,3559000000,86513000000,8046000000,34106000000,718281000000,35420000000,259972000000,182148000000
Kab Mamberamo Raya,Papua,Anggaran,2018-07-05,1185359000000,7000000000,1400000000,395000000,1900000000,3305000000,880111000000,67100000000,720548000000,92463000000,298248000000,25000000000,0,3003000000,100604000000,169642000000,0,1183359000000,77937000000,417043000000,295742000000
Kab Mamberamo Tengah,Papua,Anggaran,2018-07-05,999067000000,1000000000,0,1000000000,0,0,813836000000,38177000000,635797000000,139862000000,184231000000,0,0,4781000000,107773000000,7374000000,64303000000,1036057000000,52785000000,245659000000,274127000000
Kab Yalimo,Papua,Anggaran,2018-07-05,1169037000000,18768000000,3250000000,2646000000,510000000,12362000000,823737000000,37939000000,620837000000,164962000000,326532000000,5000000000,0,5365000000,316167000000,0,0,1168442000000,36750000000,293711000000,326165000000
Kab Lanny Jaya,Papua,Anggaran,2018-07-05,1383860000000,52926000000,1000000000,7700000000,2000000000,42226000000,906956000000,38679000000,635655000000,232622000000,423978000000,0,0,9667000000,126725000000,41213000000,246373000000,1407321000000,65689000000,272770000000,285907000000
Kab Nduga,Papua,Anggaran,2018-07-05,1226009000000,12883000000,20000000,50000000,2500000000,10313000000,913340000000,38980000000,632952000000,241408000000,299786000000,0,0,7136000000,283929000000,8721000000,0,1275934000000,29809000000,285372000000,446695000000
Kab Dogiyai,Papua,Anggaran,2018-07-05,869664000000,5261000000,2310000000,193000000,587000000,2171000000,677554000000,39505000000,492099000000,145950000000,186849000000,0,0,8092000000,178756000000,0,0,866664000000,73789000000,234481000000,185874000000
Kab Puncak,Papua,Anggaran,2018-07-05,1347977000000,8500000000,0,0,1500000000,7000000000,1044908000000,40416000000,805592000000,198900000000,294568000000,0,0,7903000000,286666000000,0,0,1483260000000,45704000000,337107000000,375844000000
Kab Intan Jaya,Papua,Anggaran,2018-07-05,1139132000000,4400000000,4400000000,0,0,0,912368000000,47108000000,700866000000,164394000000,222363000000,0,0,4741000000,110492000000,103767000000,3363000000,1137132000000,41682000000,299953000000,408222000000
Kab Deiyai,Papua,Anggaran,2018-07-05,845970000000,1500000000,450000000,150000000,0,900000000,667715000000,38789000000,475402000000,153524000000,176755000000,0,0,5974000000,166071000000,4710000000,0,819470000000,40443000000,210508000000,193098000000
